NPA,Residential New Construction,Home Ownership,Housing Density,Housing Age,Housing Size,Sale_Price
231,33,49.6%,1,22,"2,054",300375.0
232,0,55.3%,3,21,"1,824",654208.0
233,0,39%,2,28,"2,582",1314130.0
234,41,73.5%,2,32,"1,873",1205319.0
235,1,59.4%,2,50,"2,328",358625.0
236,0,47.9%,1,26,"4,553",299955.0
237,1,66.5%,1,30,"1,555",345478.0
238,1,71.8%,2,41,"1,481",516902.0
240,4,42.3%,3,60,"1,453",338150.0
241,1,97.1%,1,33,"3,549",467122.0
242,18,62.5%,2,19,"1,992",698039.0
243,5,100%,2,5,"1,843",
244,1,79.9%,1,31,"1,711",233600.0
245,105,55%,4,50,"1,713",521795.0
246,0,22.9%,4,49,"2,091",299833.0
247,2,4.7%,4,42,"1,977",
249,0,7.9%,4,52,"1,364",
250,0,76.7%,1,26,"2,371",215200.0
251,1,87.7%,2,19,"2,471",392341.0
252,1,81.9%,1,30,"2,376",329986.0
253,0,65.1%,2,28,"2,598",312764.0
254,41,8.7%,1,61,"1,583",
255,5,58.4%,3,25,"3,237",1479926.0
256,16,93%,1,10,"3,251",477179.0
257,0,42.8%,2,14,"2,506",271462.0
258,0,74.3%,2,36,"1,571",505523.0
259,15,24.5%,3,25,"1,591",969519.0
260,1,57.4%,1,34,"1,718",308974.0
261,0,82.1%,2,42,"1,742",362567.0
262,0,96.3%,1,31,"3,678",223771.0
263,0,94.2%,2,35,"2,671",
264,0,52.4%,3,25,"2,682",254182.0
265,0,74.5%,2,28,"2,092",203000.0
266,3,73.7%,1,25,"1,994",318135.0
267,2,79.4%,1,19,"2,280",197318.0
268,0,64.7%,3,39,"1,657",385500.0
269,1,69.4%,3,34,"2,513",387432.0
271,0,78%,3,51,"1,435",400735.0
273,0,83.5%,2,15,"2,074",311079.0
275,2,49.7%,2,31,"2,804",475682.0
276,0,89.3%,2,26,"2,131",507566.0
277,21,94.1%,1,12,"2,430",772545.0
278,2,8.5%,6,17,"2,142",215231.0
280,20,40.6%,0,26,"1,504",595824.0
282,0,54.7%,2,24,"1,834",282110.0
283,5,69.7%,2,28,"1,656",339057.0
284,5,43.4%,2,14,"3,901",413273.0
286,0,55.2%,0,45,"1,455",
287,0,3%,1,43,"1,667",338672.0
288,0,73.9%,2,39,"2,503",357864.0
289,6,84.4%,2,14,"2,294",383779.0
291,0,5.5%,7,22,"1,198",
292,2,26.8%,1,38,"1,181",
293,4,41.5%,3,70,"1,266",
294,1,15.8%,1,62,"1,275",
295,0,52.6%,5,48,"1,319",
296,42,90.2%,1,17,"2,690",565875.0
297,0,100%,1,37,"3,400",
299,0,63.5%,3,24,"1,731",374961.0
300,0,6.7%,1,35,"2,228",
301,0,79.9%,2,25,"1,999",287267.0
302,0,58.5%,3,31,"2,553",281071.0
303,0,8.9%,5,41,"2,282",494444.0
304,0,2.2%,6,24,"1,118",
305,5,91.3%,2,33,"1,703",273457.0
306,0,2.4%,1,54,"1,218",
307,0,50.7%,3,36,"1,602",308286.0
308,0,91.1%,2,23,"2,213",495638.0
309,0,86.7%,1,25,"2,615",508933.0
310,0,83.8%,2,24,"2,315",443261.0
311,3,35.2%,1,65,"1,448",385632.0
312,0,19.6%,3,52,"1,444",297000.0
313,6,70.7%,1,30,"1,586",323225.0
314,0,32.5%,3,63,"1,435",441888.0
315,2,18.1%,6,68,"1,760",646853.0
316,0,40.9%,3,52,"1,784",336968.0
317,1,20.5%,2,69,"1,242",440867.0
318,0,75.5%,2,41,"2,024",408826.0
319,0,73%,2,40,"1,545",305406.0
320,5,86.2%,2,47,"2,541",943911.0
321,13,19.2%,2,46,"1,204",
322,0,66.2%,2,35,"1,606",294574.0
323,0,75.9%,2,43,"1,559",285867.0
324,1,93.3%,1,28,"2,739",406566.0
325,2,58.5%,2,48,"1,896",256994.0
326,1,56.7%,3,72,"1,111",
327,0,39.6%,4,56,"1,256",
328,25,61.9%,1,44,"1,760",311315.0
329,0,74.8%,2,26,"1,884",285802.0
330,0,65.1%,1,27,"1,620",313216.0
331,51,9.9%,1,35,"1,854",292600.0
332,0,71.2%,1,22,"2,010",344652.0
333,1,89.3%,2,38,"1,547",290789.0
335,3,86.6%,1,18,"2,877",452285.0
336,9,61.3%,2,20,"2,460",356019.0
337,0,72%,1,22,"2,779",415994.0
339,1,5.2%,8,83,"1,509",665386.0
343,27,50.7%,4,67,"1,805",605434.0
344,2,59.3%,3,60,"1,380",395595.0
345,15,39.8%,1,44,"1,682",345757.0
346,1,48.5%,1,58,"1,364",261903.0
347,34,22.8%,3,58,"1,629",
348,2,86.4%,1,40,"1,825",320266.0
349,143,25.8%,3,43,"3,981",1243964.0
350,0,65.9%,2,52,"2,608",583469.0
351,0,68.7%,2,28,"2,855",641240.0
352,0,35.2%,5,27,"2,754",495667.0
353,30,97%,2,41,"2,569",617934.0
354,0,14%,4,41,"1,786",272875.0
355,15,19.8%,2,23,"2,272",435286.0
356,0,78.8%,2,21,"4,321",719374.0
357,2,57.9%,4,47,"2,023",589884.0
358,2,36%,3,55,"2,907",669062.0
359,5,97.2%,3,50,"2,418",728152.0
360,21,88.1%,1,21,"1,864",339233.0
